Trigger, Description, Definition, Status
``nH``; e.g. ``3h``-``6h``,"Resample the time resolution by averaging over every ``n`` snapshots. Writes ``clustering: temporal: resolution_elec``, which can equivalently be set directly in the config.","``prepare_network``: `average_every_nhours() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/prepare_network.py>`_", In active use
``nSEG``; e.g. ``4380SEG``,"Apply time-series segmentation with the `tsam <https://tsam.readthedocs.io/en/latest/index.html>`_ package, aggregating each investment period to ``n`` adjacent segments of varying length based on renewable capacity factors, hydro inflow, and load. Writes ``clustering: temporal: resolution_elec``, which can equivalently be set directly in the config.","``prepare_network``: `apply_time_segmentation() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/prepare_network.py>`_", In active use
``Co2Lx.xx``; e.g. ``Co2L0.05``,"Add a system-wide absolute limit on carbon-dioxide emissions (sets ``electricity: co2limit_enable: true``). The factor scales the reference budget: ``Co2L0.05`` caps emissions at 5% of ``electricity: co2base`` (which must be defined). Always append a factor — a bare ``Co2L`` mis-parses the ``2`` in the token name as the value. Alternatively set ``electricity: co2limit_enable`` and ``co2limit`` directly in the config. See :doc:`/model-constraints`.","``prepare_network``: `add_co2limit() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/prepare_network.py>`_; parsed in `update_config_from_wildcards() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/_helpers.py>`_", In active use
``CH4Lxxx``; e.g. ``CH4L200``,"Add a system-wide absolute limit on gas-fired primary energy (sets ``electricity: gaslimit_enable: true``). The appended number gives the limit in TWh thermal: ``CH4L200`` limits gas use to 200 TWh thermal per year. Always append a value — a bare ``CH4L`` mis-parses the ``4`` in the token name as the value. Alternatively set ``electricity: gaslimit_enable`` and ``gaslimit`` (MWh thermal) directly in the config.","``prepare_network``: `add_gaslimit() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/prepare_network.py>`_", In active use
``Ep``; e.g. ``Ep`` or ``Ep50``,"Add a carbon-dioxide price to the marginal cost of emitting generators and storage units, weighted by emission intensity over efficiency (sets ``costs: emission_prices: enable: true``). An appended number sets the price in $/tCO2; otherwise ``costs: emission_prices: co2`` is used.","``prepare_network``: `add_emission_prices() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/prepare_network.py>`_", In active use
``Ept``,"Request time-varying monthly carbon-dioxide prices (sets ``costs: emission_prices: co2_monthly_prices: true``). No workflow step currently consumes this setting; because the token also matches the ``Ep`` parser, its net effect equals plain ``Ep`` (static price from ``costs: emission_prices: co2``).","Parsed in `update_config_from_wildcards() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/_helpers.py>`_", Parsed; monthly pricing not implemented (falls back to static ``Ep``)
``RPS``,"Add Renewable Portfolio Standard (RPS) and Clean Energy Standard (CES) constraints enforcing minimum shares of generation (MWh) from eligible carriers per REC trading zone and planning horizon. Merges state targets from ``electricity: portfolio_standards`` (CSV) with ReEDS RPS/CES trajectories. Regions may be ReEDS zones, state codes, interconnects, or NERC regions. See :doc:`/model-constraints`.","``solve_network``: `add_RPS_constraints() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/opts/policy.py>`_", In active use
``REM``,"Add regional carbon-dioxide emission limits per planning horizon, configured via the CSV at ``electricity: regional_Co2_limits`` (default ``config/policy_constraints/regional_Co2_limits.csv``). In sector studies this token instead dispatches sector-specific emission limits. See :doc:`/model-constraints`.","``solve_network``: `add_regional_co2limit() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/opts/policy.py>`_", In active use
``ERM``,"Add Energy Reserve Margin (ERM) constraints requiring energy-backed firm capacity above demand in every snapshot for defined regions. Generators are credited at their availability; storage and transmission contribute through shadow reserve dispatch. Configured via ``electricity: erm``; defaults to a 15% margin for all regions. See :doc:`/model-constraints`.","``solve_network``: `add_ERM_constraints() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/opts/reserves.py>`_", In active use
``TCT``,"Add minimum or maximum nominal-capacity targets per carrier group, region, and planning horizon, configured via the CSV at ``electricity: technology_capacity_targets``. In myopic runs, ``max = 0`` targets additionally force retirement of existing capacity. See :doc:`/model-constraints`.","``solve_network``: `add_technology_capacity_target_constraints() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/opts/policy.py>`_", In active use
``<carrier>+{p|e|c|m}<factor>``; e.g. ``solar+c0.5``,"Scale an attribute of a single carrier: ``p`` = ``p_nom_max``, ``e`` = ``e_nom_max``, ``c`` = ``capital_cost``, ``m`` = ``marginal_cost``. Parsed into ``adjustments: electricity``, which no workflow step currently applies to the network.","Parsed in `update_config_from_wildcards() <https://github.com/PyPSA/pypsa-usa/blob/master/workflow/scripts/_helpers.py>`_", Parsed; currently without effect (``adjustments`` has no consumer)
