,light_duty,med_duty,heavy_duty,bus
2017,2.21,0.01,0.03,0.06
2018,2.88,0.01,0.04,0.12
2019,3.74,0.03,0.06,0.2
2020,4.88,0.11,0.09,0.3
2021,6.43,0.23,0.13,0.39
2022,8.42,0.52,0.18,0.49
2023,10.57,0.94,0.24,0.58
2024,13,1.57,0.31,0.67
2025,15.38,2.56,0.41,0.76
2026,18.09,4.08,0.53,1.22
2027,21.23,6.14,0.69,2.07
2028,24.77,8.83,0.91,3.23
2029,28.16,11.64,1.18,4.7
2030,31.44,14.6,1.49,6.57
2031,34.54,17.67,1.84,8.68
2032,37.43,21.01,2.22,11
2033,40.09,24.52,2.68,13.51
2034,42.52,27.95,3.21,16.2
2035,44.75,31.22,3.78,19.03
2036,46.85,34.26,4.35,21.9
2037,48.73,37.03,4.93,24.67
2038,50.38,39.54,5.49,27.23
2039,51.83,41.8,6.01,29.54
2040,53.07,43.82,6.49,31.63
2041,54.12,45.68,6.95,33.58
2042,54.98,47.31,7.37,35.43
2043,55.65,48.74,7.77,37.17
2044,56.17,49.99,8.12,38.79
2045,56.55,51.1,8.44,40.33
2046,56.84,52.12,8.71,41.73
2047,57.07,53.07,8.95,43.03
2048,57.27,53.97,9.15,44.25
2049,57.45,54.83,9.32,45.38
2050,57.63,55.66,9.46,46.4
