Bus,v_nom,x,y,control,generator,interconnect,substation_lv,substation_off,country,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,sub_network
35000,230.0,-124.578,48.2414,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35001,230.0,-124.184,47.6956,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35002,230.0,-124.057,47.04,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35003,230.0,-124.172,46.9275,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35004,230.0,-124.061,46.3165,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35005,230.0,-123.983,46.4983,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35006,230.0,-123.847,47.1743,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35007,230.0,-123.762,48.0025,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35008,230.0,-123.664,47.165,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35009,230.0,-123.686,47.1889,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35010,230.0,-123.615,46.656,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35011,230.0,-123.294,47.0719,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35012,230.0,-123.332,47.988,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35013,230.0,-123.332,46.1904,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35014,230.0,-123.13,47.1504,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35015,230.0,-123.072,47.1479,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35016,230.0,-123.042,46.7918,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35017,230.0,-123.038,48.6268,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35018,230.0,-123.158,48.0874,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35019,230.0,-123.082,48.0024,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35020,230.0,-123.132,47.0228,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35021,230.0,-123.143,47.0673,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35022,230.0,-123.011,46.1277,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35023,230.0,-122.989,46.1467,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35024,230.0,-122.963,46.66,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35025,230.0,-123.021,47.1433,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35026,230.0,-122.923,47.1717,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35027,230.0,-122.896,46.4187,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35028,230.0,-122.848,46.7548,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35029,230.0,-122.926,47.4535,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35030,230.0,-122.809,46.3394,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35031,230.0,-122.858,46.9955,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35032,230.0,-122.886,46.9904,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35033,230.0,-122.945,48.5514,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35034,230.0,-122.852,47.0745,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35035,230.0,-122.891,48.0143,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35036,230.0,-122.807,46.9218,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35037,230.0,-122.722,46.9892,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35038,230.0,-122.791,47.003,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35039,230.0,-122.752,47.1839,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35040,230.0,-122.809,47.5276,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35041,230.0,-122.878,47.5296,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35042,230.0,-122.84,46.0854,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35043,230.0,-122.739,47.3623,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35044,230.0,-122.715,46.8946,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35045,230.0,-122.693,47.0142,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35046,230.0,-122.767,46.0192,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35047,230.0,-122.788,47.3039,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35048,230.0,-122.691,45.7379,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35049,230.0,-122.658,47.7074,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35050,230.0,-122.715,47.7601,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35051,230.0,-122.772,48.9,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35052,230.0,-122.682,47.9481,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35053,230.0,-122.614,47.5032,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35054,230.0,-122.622,47.4023,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35055,230.0,-122.686,45.8363,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35056,230.0,-122.652,45.7159,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35057,230.0,-122.775,45.6572,PQ,,Western,True,True,PGE,,AC,None,1.0,0.0,inf,
35058,230.0,-122.67,47.3081,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35059,230.0,-122.568,46.0356,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35060,230.0,-122.665,47.1074,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35061,230.0,-122.658,45.5909,PQ,,Western,True,True,PGE,,AC,None,1.0,0.0,inf,
35062,230.0,-122.615,45.6377,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35063,230.0,-122.692,48.5919,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35064,230.0,-122.581,48.1206,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35065,230.0,-122.651,46.6517,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35066,230.0,-122.649,46.8176,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35067,230.0,-122.703,47.7207,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35068,230.0,-122.642,47.5662,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35069,230.0,-122.63,48.2781,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35070,230.0,-122.535,48.2395,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35071,230.0,-122.684,47.7984,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35072,230.0,-122.658,47.7539,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35073,230.0,-122.622,47.5231,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35074,230.0,-122.627,45.5753,PQ,,Western,True,True,PGE,,AC,None,1.0,0.0,inf,
