Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,x1,y1,x2,y2
1,35000,35001,8.756278848,45.381699648,1.9143037177063644e-06,144.84794493537007,1.0,67.40693059281557,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.578,48.2414,-124.184,47.6956
2,35000,35007,4.2498590400000005,30.620619071999997,2.634320520898971e-06,144.84794493537007,1.0,66.1387198535257,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.578,48.2414,-123.762,48.0025
3,35000,41082,0.685584,6.094080000000001,0.0,144.84794493537007,1.0,35.968764714821944,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.578,48.2414,-125.050937,48.168686
4,35001,35009,4.309428671999999,20.255807807999997,3.02667506826297e-06,144.84794493537007,1.0,67.6541118761049,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.184,47.6956,-123.686,47.1889
5,35001,41081,0.6855839999999999,6.094079999999999,0.0,144.84794493537007,1.0,39.60949630160578,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.184,47.6956,-124.655429,47.534671
6,35002,35003,1.8433068479999999,11.165573376,4.919134635580759e-07,144.84794493537007,1.0,15.250827940930593,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.057,47.04,-124.172,46.9275
7,35002,35006,1.892668896,12.055156704000002,7.418609535811804e-07,144.84794493537007,1.0,21.808396837407432,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.057,47.04,-123.847,47.1743
8,35002,35477,1.4497816319999999,7.646394528,1.1526990128124342e-06,144.84794493537007,1.0,22.722430426891176,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.057,47.04,-123.774,46.9728
9,35003,35477,2.968121664,15.333162336000001,8.909892879647134e-07,144.84794493537007,1.0,30.627401419604315,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.172,46.9275,-123.774,46.9728
10,35003,41080,0.6855839999999999,6.094079999999999,0.0,144.84794493537007,1.0,23.94589446815021,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.172,46.9275,-124.478275,46.979165
