technology,parameter,value,unit,year,source,further description
Residential Gas-Fired Furnaces,efficiency,0.8,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,efficiency,0.8,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,efficiency,0.9,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,efficiency,0.95,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,efficiency,0.95,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,efficiency,0.95,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,lifetime,22.5,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,lifetime,22.5,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,lifetime,22.5,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,lifetime,22.5,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,lifetime,22.5,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,lifetime,22.5,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Furnaces,investment,36,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,investment,36,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,investment,51.6,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,investment,51.9,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,investment,51.9,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,investment,51.9,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,FOM,2.1,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,FOM,2.1,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,FOM,3.1,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,FOM,3.1,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,FOM,3.1,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Furnaces,FOM,3.1,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.10) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Furnaces,efficiency,0.83,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,efficiency,0.83,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,efficiency,0.85,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,efficiency,0.9,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,efficiency,0.9,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,efficiency,0.9,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,lifetime,26,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,lifetime,26,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,lifetime,26,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,lifetime,26,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,lifetime,26,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,lifetime,26,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,investment,46.5,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,investment,46.5,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,investment,49,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
