pypsa-name,parameter,value,investment_horizon
EGS,annualized_capex_fom,510917.007,2040
EGS,annualized_capex_per_mw,398586.811,2040
EGS,annualized_capex_per_mw_km,,2040
EGS,annualized_connection_capex_per_mw_km,4.113,2040
EGS,capacity_factor,0.9,2040
EGS,capex_construction_finance_factor,1897.835,2040
EGS,capex_grid_connection_per_kw,100,2040
EGS,capex_grid_connection_per_kw_km,62.15,2040
EGS,capex_overnight_additional_per_kw,,2040
EGS,capex_overnight_per_kw,4024.807,2040
EGS,capex_per_kw,6022.642,2040
EGS,capex_per_mw_km,,2040
EGS,co2_emissions,,2040
EGS,cost_recovery_period_years,25,2040
EGS,efficiency,0.384,2040
EGS,fuel_cost,,2040
EGS,fuel_cost_per_mwh,,2040
EGS,fuel_cost_real_per_mwhth,,2040
EGS,heat_rate_mmbtu_per_mwh,8.881,2040
EGS,heat_rate_penalty,,2040
EGS,levelized_cost_of_energy_per_mwh,49.754,2040
EGS,lifetime,25,2040
EGS,marginal_cost,,2040
EGS,net_output_penalty,,2040
EGS,opex_fixed_per_kw,112.33,2040
EGS,opex_variable_per_mwh,,2040
EGS,wacc_real,0.052,2040
EGS,annualized_capex_fom,491894.777,2050
EGS,annualized_capex_per_mw,379564.581,2050
EGS,annualized_capex_per_mw_km,,2050
EGS,annualized_connection_capex_per_mw_km,4.113,2050
EGS,capacity_factor,0.9,2050
EGS,capex_construction_finance_factor,1807.3,2050
EGS,capex_grid_connection_per_kw,100,2050
EGS,capex_grid_connection_per_kw_km,62.15,2050
EGS,capex_overnight_additional_per_kw,,2050
EGS,capex_overnight_per_kw,3828.035,2050
EGS,capex_per_kw,5735.334,2050
EGS,capex_per_mw_km,,2050
EGS,co2_emissions,,2050
EGS,cost_recovery_period_years,25,2050
EGS,efficiency,0.384,2050
EGS,fuel_cost,,2050
EGS,fuel_cost_per_mwh,,2050
EGS,fuel_cost_real_per_mwhth,,2050
EGS,heat_rate_mmbtu_per_mwh,8.881,2050
EGS,heat_rate_penalty,,2050
EGS,levelized_cost_of_energy_per_mwh,48.06,2050
EGS,lifetime,25,2050
EGS,marginal_cost,,2050
EGS,net_output_penalty,,2050
EGS,opex_fixed_per_kw,112.33,2050
EGS,opex_variable_per_mwh,,2050
EGS,wacc_real,0.052,2050
EGS,annualized_capex_fom,544721.506,2030
EGS,annualized_capex_per_mw,429012.29,2030
EGS,annualized_capex_per_mw_km,,2030
EGS,annualized_connection_capex_per_mw_km,4.113,2030
EGS,capacity_factor,0.9,2030
EGS,capex_construction_finance_factor,2071.03,2030
EGS,capex_grid_connection_per_kw,100,2030
EGS,capex_grid_connection_per_kw_km,62.15,2030
EGS,capex_overnight_additional_per_kw,,2030
EGS,capex_overnight_per_kw,4311.228,2030
EGS,capex_per_kw,6482.259,2030
EGS,capex_per_mw_km,,2030
EGS,co2_emissions,,2030
EGS,cost_recovery_period_years,25,2030
EGS,efficiency,0.384,2030
EGS,fuel_cost,,2030
EGS,fuel_cost_per_mwh,,2030
EGS,fuel_cost_real_per_mwhth,,2030
EGS,heat_rate_mmbtu_per_mwh,8.881,2030
EGS,heat_rate_penalty,,2030
EGS,levelized_cost_of_energy_per_mwh,52.893,2030
EGS,lifetime,25,2030
EGS,marginal_cost,,2030
EGS,net_output_penalty,,2030
EGS,opex_fixed_per_kw,115.709,2030
EGS,opex_variable_per_mwh,,2030
EGS,wacc_real,0.052,2030
