Technology,primary_fuel
Petroleum Liquids,Oil
Onshore Wind Turbine,Wind
Conventional Hydroelectric,Hydro
Natural Gas Steam Turbine,Gas_SC
Conventional Steam Coal,Coal
Natural Gas Fired Combined Cycle,Gas_CC
Natural Gas Fired Combustion Turbine,Gas_SC
Nuclear,Nuclear
Hydroelectric Pumped Storage,Hydro
Natural Gas Internal Combustion Engine,Gas_SC
Solar Photovoltaic,Solar
Geothermal,Geothermal
Landfill Gas,Waste
Batteries,Battery
Wood/Wood Waste Biomass,Biomass
Coal Integrated Gasification Combined Cycle,Coal
Other Gases,Other
Petroleum Coke,Coal
Municipal Solid Waste,Waste
Natural Gas with Compressed Air Storage,Gas_SC
All Other,Other
Other Waste Biomass,Waste
Solar Thermal without Energy Storage,Solar
Other Natural Gas,Gas_SC
Solar Thermal with Energy Storage,Solar
Flywheels,Storage
Offshore Wind Turbine,Wind
