State,City,Base Project Cost ($/kW ),Location Variation,Delta Cost Difference ($/kW),Total Location Project Cost ($/kW)
Alabama,Huntsville,N/A,N/A,N/A,N/A
Arizona,Phoenix,N/A,N/A,N/A,N/A
Arkansas,Little Rock,N/A,N/A,N/A,N/A
California,Bakersfield,"5,316",1.16,871,6187
California,Los Angeles,"5,316",1.12,659,5975
California,Modesto,"5,316",1,1100,6417
California,Sacramento,"5,316",1,1092,6408
California,San Francisco,"5,316",1,1420,6737
Colorado,Denver,"5,316",1.02,94,5410
Connecticut,Hartford,"5,316",1.17,920,6236
Delaware,Dover,N/A,N/A,N/A,N/A
District of Columbia,Washington,N/A,N/A,N/A,N/A
Florida,Tallahassee,N/A,N/A,N/A,N/A
Florida,Tampa,N/A,N/A,N/A,N/A
Georgia,Atlanta,N/A,N/A,N/A,N/A
Idaho,Boise,"5,316",0.75,"-1,345",3971
Illinois,Chicago,N/A,N/A,N/A,N/A
Illinois,Joliet,N/A,N/A,N/A,N/A
Indiana,Indianapolis,N/A,N/A,N/A,N/A
Iowa,Davenport,N/A,N/A,N/A,N/A
Iowa,Waterloo,N/A,N/A,N/A,N/A
Kansas,Wichita,N/A,N/A,N/A,N/A
Kentucky,Louisville,N/A,N/A,N/A,N/A
Louisiana,New Orleans,N/A,N/A,N/A,N/A
Maine,Portland,"5,316",1.03,163,5479
Maryland,Baltimore,N/A,N/A,N/A,N/A
Massachusetts,Boston,N/A,N/A,N/A,N/A
Michigan,Detroit,N/A,N/A,N/A,N/A
Michigan,Grand Rapids,N/A,N/A,N/A,N/A
Minnesota,Saint Paul,N/A,N/A,N/A,N/A
Mississippi,Jackson,N/A,N/A,N/A,N/A
Missouri,St. Louis,"5,316",1.15,771,6088
Missouri,Kansas City,"5,316",1.06,332,5648
Montana,Great Falls,"5,316",0.97,-141,5175
Nebraska,Omaha,N/A,N/A,N/A,N/A
New Hampshire,Concord,N/A,N/A,N/A,N/A
New Jersey,Newark,N/A,N/A,N/A,N/A
New,Albuquerque,N/A,N/A,N/A,N/A
New Mexico,New York,N/A,N/A,N/A,N/A
New York,Syracuse,N/A,N/A,N/A,N/A
Nevada,Las Vegas,N/A,N/A,N/A,N/A
North Carolina,Charlotte,"5,316",0.97,-161,5155
North Dakota,Bismarck,N/A,N/A,N/A,N/A
Oklahoma,Oklahoma City,N/A,N/A,N/A,N/A
Oklahoma,Tulsa,N/A,N/A,N/A,N/A
Ohio,Cincinnati,"5,316",0.94,-318,4998
Oregon,Portland,"5,316",1.11,565,5881
Pennsylvania,Philadelphia,N/A,N/A,N/A,N/A
Pennsylvania,Wilkes-Barre,N/A,N/A,N/A,N/A
Rhode Island,Providence,N/A,N/A,N/A,N/A
South Carolina,Charleston,N/A,N/A,N/A,N/A
South Carolina,Spartanburg,N/A,N/A,N/A,N/A
South Dakota,Rapid City,"5,316",0.96,-198,5119
Tennessee,Knoxville (Nashville),N/A,N/A,N/A,N/A
Texas,Houston,N/A,N/A,N/A,N/A
Utah,Salt Lake City,N/A,N/A,N/A,N/A
Vermont,Burlington,N/A,N/A,N/A,N/A
Virginia,Alexandria,N/A,N/A,N/A,N/A
Virginia,Lynchburg,N/A,N/A,N/A,N/A
Washington,Seattle,"5,316",1.15,780,6096
Washington,Spokane,"5,316",1.06,329,5645
West Virginia,Charleston,N/A,N/A,N/A,N/A
Wisconsin,Green Bay,N/A,N/A,N/A,N/A
Wyoming,Cheyenne,N/A,N/A,N/A,N/A
