State,City ,Base Project Cost ($/kW ), Location Variation, Delta Cost Difference ($/kW), Total Location Project Cost ($/kW)
Alabama,Huntsville,1563,0.98,-39,1525
Arizona,Phoenix,1563,0.98,-28,1536
Arkansas,Little Rock,1563,0.99,-23,1540
California,Bakersfield,1563,1.16,249,1812
California,Los Angeles,1563,1.16,258,1821
California,Modesto,1563,1.16,248,1812
California,Sacramento,1563,1.17,267,1831
California,San Francisco,1563,1.25,394,1957
Colorado,Denver,1563,0.97,-49,1515
Connecticut,Hartford,1563,1.14,213,1776
Delaware,Dover,1563,1.09,146,1709
District of Columbia,Washington,1563,1.02,36,1599
Florida,Tallahassee,1563,0.96,-67,1497
Florida,Tampa,1563,0.97,-50,1513
Georgia,Atlanta,1563,0.99,-12,1551
Idaho,Boise,1563,1.02,32,1595
Illinois,Chicago,1563,1.2,320,1884
Illinois,Joliet,1563,1.17,268,1831
Indiana,Indianapolis,1563,1.02,33,1596
Iowa,Davenport,1563,1.04,55,1619
Iowa,Waterloo,1563,0.98,-27,1536
Kansas,Wichita,1563,0.99,-23,1540
Kentucky,Louisville,1563,1.01,13,1576
Louisiana,New Orleans,1563,0.99,-20,1543
Maine,Portland,1563,1.01,23,1586
Maryland,Baltimore,1563,1.02,31,1594
Massachusetts,Boston,1563,1.17,270,1833
Michigan,Detroit,1563,1.09,135,1698
Michigan,Grand Rapids,1563,1.02,36,1599
Minnesota,Saint Paul,1563,1.08,122,1685
Mississippi,Jackson,1563,0.96,-66,1497
Missouri,St. Louis,1563,1.12,180,1744
Missouri,Kansas City,1563,1.06,99,1663
Montana,Great Falls,1563,0.98,-34,1530
Nebraska,Omaha,1563,0.99,-20,1543
New Hampshire,Concord,1563,1.06,101,1664
New Jersey,Newark,1563,1.18,288,1851
New,Albuquerque,1563,1,4,1567
New Mexico,New York,1563,1.36,566,2129
New York,Syracuse,1563,1.05,81,1644
Nevada,Las Vegas,1563,1.12,191,1755
North Carolina,Charlotte,1563,0.97,-47,1517
North Dakota,Bismarck,1563,1,5,1568
Oklahoma,Oklahoma City,1563,1,1,1564
Oklahoma,Tulsa,1563,0.95,-85,1479
Ohio,Cincinnati,1563,0.95,-85,1478
Oregon,Portland,1563,1.09,135,1698
Pennsylvania,Philadelphia,1563,1.18,274,1838
Pennsylvania,Wilkes-Barre,1563,1.06,91,1654
Rhode Island,Providence,1563,1.12,184,1747
South Carolina,Charleston,1563,1,-5,1558
South Carolina,Spartanburg,1563,0.98,-31,1532
South Dakota,Rapid City,1563,0.98,-35,1528
Tennessee,Knoxville (Nashville),1563,0.99,-9,1554
Texas,Houston,1563,0.94,-90,1473
Utah,Salt Lake City,1563,1,3,1567
Vermont,Burlington,1563,1.06,86,1650
Virginia,Alexandria,1563,1.02,30,1593
Virginia,Lynchburg,1563,0.97,-48,1516
Washington,Seattle,1563,1.13,198,1761
Washington,Spokane,1563,1.04,56,1619
West Virginia,Charleston,1563,1.03,46,1609
Wisconsin,Green Bay,1563,1.03,44,1607
Wyoming,Cheyenne,1563,0.99,-16,1547
