State,City ,Base Project Cost ($/kW ), Location Variation, Delta Cost Difference ($/kW), Total Location Project Cost ($/kW)
Alabama,Huntsville,705,0.94,-43,662
Arizona,Phoenix,705,0.98,-15,690
Arkansas,Little Rock,705,0.94,-41,664
California,Bakersfield,705,1.21,145,850
California,Los Angeles,705,1.23,159,864
California,Modesto,705,1.21,148,852
California,Sacramento,705,1.24,168,873
California,San Francisco,705,1.39,278,983
Colorado,Denver,705,0.96,-25,680
Connecticut,Hartford,705,1.2,138,843
Delaware,Dover,705,1.18,125,830
District of Columbia,Washington,705,1.05,35,740
Florida,Tallahassee,705,0.92,-53,652
Florida,Tampa,705,0.94,-44,661
Georgia,Atlanta,705,0.97,-23,682
Idaho,Boise,705,1.02,15,720
Illinois,Chicago,705,1.3,214,919
Illinois,Joliet,705,1.26,182,887
Indiana,Indianapolis,705,1.02,15,720
Iowa,Davenport,705,1.05,35,740
Iowa,Waterloo,705,0.97,-22,683
Kansas,Wichita,705,0.97,-18,687
Kentucky,Louisville,705,1,-2,702
Louisiana,New Orleans,705,0.95,-36,668
Maine,Portland,705,1.02,16,720
Maryland,Baltimore,705,1.04,27,732
Massachusetts,Boston,705,1.25,178,883
Michigan,Detroit,705,1.13,95,799
Michigan,Grand Rapids,705,1.05,32,737
Minnesota,Saint Paul,705,1.13,89,794
Mississippi,Jackson,705,0.93,-52,653
Missouri,St. Louis,705,1.14,101,806
Missouri,Kansas City,705,1.09,66,770
Montana,Great Falls,705,0.97,-24,681
Nebraska,Omaha,705,0.98,-12,693
New Hampshire,Concord,705,1.07,50,755
New Jersey,Newark,705,1.28,201,905
New,Albuquerque,705,0.99,-8,696
New Mexico,New York,705,1.57,400,1105
New York,Syracuse,705,1.08,55,759
Nevada,Las Vegas,705,1.17,122,827
North Carolina,Charlotte,705,0.95,-36,668
North Dakota,Bismarck,705,1.02,15,719
Oklahoma,Oklahoma City,705,1,-2,702
Oklahoma,Tulsa,705,0.91,-61,644
Ohio,Cincinnati,705,0.91,-61,643
Oregon,Portland,705,1.11,79,784
Pennsylvania,Philadelphia,705,1.29,205,909
Pennsylvania,Wilkes-Barre,705,1.1,69,774
Rhode Island,Providence,705,1.15,108,813
South Carolina,Charleston,705,0.93,-46,658
South Carolina,Spartanburg,705,0.95,-34,670
South Dakota,Rapid City,705,0.98,-13,692
Tennessee,Knoxville (Nashville),705,0.95,-32,673
Texas,Houston,705,0.9,-67,638
Utah,Salt Lake City,705,0.97,-18,687
Vermont,Burlington,705,1.02,14,719
Virginia,Alexandria,705,1.04,30,735
Virginia,Lynchburg,705,0.96,-31,673
Washington,Seattle,705,1.17,119,824
Washington,Spokane,705,1.04,31,736
West Virginia,Charleston,705,1.05,35,739
Wisconsin,Green Bay,705,1.05,37,742
Wyoming,Cheyenne,705,1,-1,704
